     actual_score  predicted_score  has_emotion_actual  has_emotion_predicted
0        2.750000         1.624532                True                   True
1        0.500000         0.638565               False                  False
2        0.750000         0.728243               False                  False
3        1.000000         0.671306               False                  False
4        0.750000         0.785318               False                  False
5        1.750000         1.918608                True                   True
6        1.750000         2.023787                True                   True
7        0.250000         0.442529               False                  False
8        0.250000         0.853687               False                  False
9        0.750000         0.577591               False                  False
10       0.750000         0.537912               False                  False
11       0.750000         0.716624               False                  False
12       0.750000         0.529031               False                  False
13       1.250000         0.473070               False                  False
14       0.500000         0.449915               False                  False
15       0.500000         0.473987               False                  False
16       0.250000         0.526947               False                  False
17       0.250000         0.929962               False                  False
18       0.250000         0.371424               False                  False
19       0.750000         0.981807               False                  False
20       1.750000         2.039797                True                   True
21       1.333333         1.441712               False                  False
22       1.500000         1.597240                True                   True
23       1.250000         1.339035               False                  False
24       0.750000         0.806808               False                  False
25       1.000000         1.074388               False                  False
26       1.000000         1.015092               False                  False
27       1.750000         0.989853                True                  False
28       2.000000         2.253720                True                   True
30       0.750000         0.759937               False                  False
31       1.500000         1.579374                True                   True
32       1.000000         1.035697               False                  False
33       1.500000         1.668356                True                   True
34       1.333333         1.413762               False                  False
35       2.500000         2.486628                True                   True
36       1.000000         0.814861               False                  False
37       1.000000         0.973972               False                  False
38       0.750000         1.293829               False                  False
39       0.666667         1.147741               False                  False
40       0.750000         0.793372               False                  False
41       1.750000         1.869473                True                   True
42       0.750000         0.904634               False                  False
43       1.000000         1.047346               False                  False
44       1.000000         1.142935               False                  False
45       1.333333         1.510115               False                   True
46       0.750000         1.149712               False                  False
47       1.250000         1.324545               False                  False
48       1.250000         1.181538               False                  False
49       0.750000         1.195598               False                  False
50       0.500000         0.519721               False                  False
51       0.500000         0.450220               False                  False
52       0.750000         0.507708               False                  False
53       0.750000         0.978475               False                  False
54       0.250000         0.300514               False                  False
55       0.250000         0.330690               False                  False
56       0.500000         0.586822               False                  False
57       1.333333         1.391442               False                  False
58       0.750000         0.724369               False                  False
59       0.750000         0.754680               False                  False
60       0.500000         0.853029               False                  False
61       0.500000         0.445904               False                  False
62       0.750000         0.816459               False                  False
63       0.500000         0.587572               False                  False
64       1.000000         0.628336               False                  False
65       1.333333         1.284655               False                  False
66       0.666667         0.566211               False                  False
67       0.333333         0.332658               False                  False
68       0.333333         0.523849               False                  False
69       0.333333         0.473310               False                  False
70       0.333333         0.499990               False                  False
71       1.000000         0.924883               False                  False
72       1.333333         1.369315               False                  False
73       0.666667         0.664592               False                  False
74       0.666667         0.650727               False                  False
75       2.000000         1.298488                True                  False
76       1.250000         1.429337               False                  False
77       1.250000         1.264897               False                  False
78       1.000000         1.034488               False                  False
79       1.333333         1.567219               False                   True
80       2.000000         2.292164                True                   True
82       0.333333         0.536037               False                  False
83       0.333333         0.591819               False                  False
84       0.666667         0.676140               False                  False
85       0.666667         0.584684               False                  False
86       0.666667         0.743234               False                  False
87       0.750000         0.757266               False                  False
88       1.000000         1.066597               False                  False
89       1.000000         0.948260               False                  False
90       1.000000         1.016821               False                  False
91       1.000000         1.055730               False                  False
92       0.250000         0.539311               False                  False
93       0.666667         0.635055               False                  False
94       0.333333         1.046791               False                  False
95       1.000000         0.582263               False                  False
96       0.666667         0.847024               False                  False
97       0.750000         0.550797               False                  False
98       0.500000         0.583276               False                  False
100      0.250000         0.646978               False                  False

Mean Absolute Error (MAE): 0.1825 
Precision: 0.8462 
Recall: 0.8462 
Accuracy: 0.9592 
Confusion Matrix: 
 [[83  2]
 [ 2 11]]
