     actual_score  predicted_score  has_emotion_actual  has_emotion_predicted
0        1.250000         1.276839               False                  False
1        0.750000         1.089051               False                  False
2        1.250000         1.155954               False                  False
3        1.333333         1.188241               False                  False
4        1.000000         1.139797               False                  False
5        2.000000         1.186610                True                  False
6        1.500000         1.304981                True                  False
7        1.250000         1.119767               False                  False
8        1.500000         1.204598                True                  False
9        1.250000         1.148951               False                  False
10       1.250000         0.814497               False                  False
11       1.250000         1.297694               False                  False
12       0.750000         1.084963               False                  False
13       0.750000         1.277618               False                  False
14       1.250000         0.972981               False                  False
15       1.250000         0.772547               False                  False
16       1.250000         1.238141               False                  False
17       1.250000         1.217162               False                  False
18       1.500000         1.302891                True                  False
19       1.500000         1.456735                True                  False
20       0.500000         0.709458               False                  False
21       2.000000         2.027157                True                   True
22       1.750000         1.676769                True                   True
23       1.750000         1.833249                True                   True
24       1.250000         1.390773               False                  False
25       1.000000         1.000828               False                  False
26       1.750000         1.715250                True                   True
27       2.000000         1.395850                True                  False
28       1.750000         1.858292                True                   True
30       1.000000         1.107053               False                  False
31       1.000000         0.859047               False                  False
32       0.000000         1.375563               False                  False
33       1.500000         1.458019                True                  False
34       0.666667         0.815529               False                  False
35       2.000000         1.936074                True                   True
36       1.333333         1.468782               False                  False
37       1.666667         1.673156                True                   True
38       2.000000         1.794523                True                   True
39       1.666667         1.565756                True                   True
40       1.750000         1.928093                True                   True
41       1.500000         1.462018                True                  False
42       0.500000         0.717270               False                  False
43       2.000000         1.906699                True                   True
44       2.000000         1.913366                True                   True
45       1.000000         1.051268               False                  False
46       1.000000         1.065807               False                  False
47       1.250000         1.320023               False                  False
48       1.750000         1.462010                True                  False
49       1.500000         1.425552                True                  False
50       1.250000         1.447096               False                  False
51       1.750000         1.662331                True                   True
52       1.250000         1.294909               False                  False
53       0.750000         0.901409               False                  False
54       1.000000         0.735089               False                  False
55       0.500000         0.583189               False                  False
56       1.000000         1.021248               False                  False
57       2.000000         1.742662                True                   True
58       2.250000         2.321783                True                   True
59       2.000000         2.155207                True                   True
60       2.250000         1.782335                True                   True
61       2.250000         2.351045                True                   True
62       1.750000         1.807096                True                   True
63       2.000000         2.064266                True                   True
64       1.666667         1.405983                True                  False
65       2.333333         2.058757                True                   True
66       1.000000         1.045193               False                  False
67       1.000000         0.909824               False                  False
68       1.333333         1.370867               False                  False
69       1.000000         1.244463               False                  False
70       1.000000         1.090674               False                  False
71       1.666667         1.748114                True                   True
72       2.000000         1.948870                True                   True
73       2.333333         2.137866                True                   True
74       1.666667         1.564173                True                   True
75       2.666667         1.669697                True                   True
76       2.000000         1.737355                True                   True
77       1.750000         1.520734                True                   True
78       1.250000         1.501530               False                   True
79       2.333333         2.418716                True                   True
80       2.666667         2.640305                True                   True
82       1.000000         1.417488               False                  False
83       1.333333         1.531289               False                   True
84       1.333333         1.481196               False                  False
85       2.000000         1.688422                True                   True
86       1.666667         1.668707                True                   True
87       2.000000         2.038045                True                   True
88       1.500000         1.654011                True                   True
89       1.750000         1.685925                True                   True
90       2.500000         2.324149                True                   True
91       1.750000         1.859860                True                   True
92       1.250000         1.617051               False                   True
93       1.333333         1.278065               False                  False
94       1.000000         1.305040               False                  False
95       1.250000         0.798066               False                  False
96       1.333333         1.409081               False                  False
97       1.000000         1.289042               False                  False
98       0.750000         1.276456               False                  False
100      1.000000         1.127735               False                  False

Mean Absolute Error (MAE): 0.1898 
Precision: 0.925 
Recall: 0.7708 
Accuracy: 0.8571 
Confusion Matrix: 
 [[47  3]
 [11 37]]
