     actual_score  predicted_score  has_emotion_actual  has_emotion_predicted
0        2.500000         2.212851                True                   True
1        0.500000         1.482794               False                  False
2        0.500000         1.022578               False                  False
3        1.333333         1.493337               False                  False
4        0.750000         0.763670               False                  False
5        2.250000         2.036608                True                   True
6        2.750000         2.374290                True                   True
7        0.750000         1.479317               False                  False
8        1.000000         1.909038               False                   True
9        1.000000         2.256103               False                   True
10       1.000000         1.148040               False                  False
11       0.750000         1.801321               False                   True
12       1.250000         1.457506               False                  False
13       0.750000         1.252366               False                  False
14       1.500000         1.057313                True                  False
15       1.750000         1.177072                True                  False
16       0.750000         1.344906               False                  False
17       0.750000         1.169625               False                  False
18       0.750000         1.092771               False                  False
19       2.500000         1.764363                True                   True
20       1.750000         1.770843                True                   True
21       3.000000         2.394628                True                   True
22       1.750000         1.821175                True                   True
23       2.000000         1.761096                True                   True
24       2.750000         2.158346                True                   True
25       1.333333         1.300382               False                  False
26       1.500000         1.654390                True                   True
27       1.000000         1.146431               False                  False
28       2.000000         1.808875                True                   True
30       2.500000         1.801460                True                   True
31       2.750000         2.079732                True                   True
32       2.000000         2.097128                True                   True
33       2.500000         2.337462                True                   True
34       1.333333         2.181163               False                   True
35       2.000000         2.130165                True                   True
36       2.000000         2.021228                True                   True
37       2.000000         2.136164                True                   True
38       2.500000         2.371185                True                   True
39       3.000000         2.705921                True                   True
40       2.250000         2.198646                True                   True
41       2.000000         1.391151                True                  False
42       1.000000         2.262486               False                   True
43       2.666667         2.244792                True                   True
44       2.000000         2.278784                True                   True
45       2.333333         2.140608                True                   True
46       3.000000         2.261676                True                   True
47       2.000000         1.974686                True                   True
48       2.000000         2.266422                True                   True
49       2.000000         2.173409                True                   True
50       2.750000         2.521612                True                   True
51       2.750000         2.469437                True                   True
52       2.500000         2.279689                True                   True
53       2.000000         1.951609                True                   True
54       1.250000         1.538205               False                   True
55       1.500000         1.583414                True                   True
56       2.000000         2.131453                True                   True
57       1.000000         1.704851               False                   True
58       2.000000         2.401158                True                   True
59       1.500000         1.766676                True                   True
60       2.000000         2.181301                True                   True
61       2.000000         2.066019                True                   True
62       2.250000         2.118380                True                   True
63       2.250000         1.924183                True                   True
64       1.666667         2.056147                True                   True
65       1.000000         1.551938               False                   True
66       1.333333         2.082106               False                   True
67       0.666667         1.350998               False                  False
68       1.000000         1.822260               False                   True
69       1.000000         1.838508               False                   True
70       1.666667         1.874065                True                   True
71       2.333333         2.063319                True                   True
72       2.333333         1.633816                True                   True
73       2.666667         2.094459                True                   True
74       1.000000         1.389235               False                  False
75       2.333333         1.803697                True                   True
76       3.000000         2.496689                True                   True
77       2.250000         1.886576                True                   True
78       1.000000         1.423261               False                  False
79       1.000000         1.687887               False                   True
80       1.333333         1.756572               False                   True
82       2.000000         2.639130                True                   True
83       1.333333         2.349992               False                   True
84       1.666667         1.435686                True                  False
85       2.333333         2.414985                True                   True
86       2.333333         2.373799                True                   True
87       1.000000         1.061754               False                  False
88       2.250000         1.297474                True                  False
89       0.750000         1.240987               False                  False
90       0.500000         1.156606               False                  False
91       0.750000         1.281698               False                  False
92       0.750000         1.703719               False                   True
93       0.666667         1.031492               False                  False
94       2.000000         1.954283                True                   True
95       1.750000         1.760711                True                   True
96       2.000000         2.014915                True                   True
97       2.500000         1.644025                True                   True
98       1.750000         1.843633                True                   True
100      1.750000         1.752593                True                   True

Mean Absolute Error (MAE): 0.4003 
Precision: 0.7917 
Recall: 0.9194 
Accuracy: 0.7959 
Confusion Matrix: 
 [[21 15]
 [ 5 57]]
